nba_game_id,series_id,round_number,series_game_number,team_a,team_b,matchup,regulation_control_result,binary_control_accuracy_eligible,adjudicability_status,team_a_control_share,team_b_control_share,timing_eligible,explicit_call_eligible,categorical_eligible,continuous_eligible,forecast_control_team_tricode,categorical_correct,forecast_team_share,opponent_share,signed_regulation_control_share_margin,home_always_correct,higher_seed_always_correct,edited_note_flag
0042500106,DET-ORL,1,6,DET,ORL,DET @ ORL,INDETERMINATE,false,INDETERMINATE,0.41954,0.41954,true,true,false,true,DET,,0.41954,0.41954,0.0,false,,false
0042500176,LAL-HOU,1,6,LAL,HOU,LAL @ HOU,TEAM_A_CONTROL,true,DETERMINATE,0.428571,0.086957,true,true,true,true,HOU,false,0.086957,0.428571,-0.341614,false,true,false
0042500117,BOS-PHI,1,7,PHI,BOS,PHI @ BOS,INDETERMINATE,false,INDETERMINATE,0.336898,0.379679,true,true,false,true,PHI,,0.336898,0.379679,-0.04278100000000001,false,,false
0042500107,DET-ORL,1,7,ORL,DET,ORL @ DET,TEAM_B_CONTROL,true,DETERMINATE,0.333333,0.4,true,true,true,true,DET,true,0.4,0.333333,0.06666700000000003,true,true,false
0042500211,NYK-PHI,2,1,PHI,NYK,PHI @ NYK,TEAM_B_CONTROL,true,DETERMINATE,0.302326,0.575581,true,true,true,true,NYK,true,0.575581,0.302326,0.273255,true,true,false
0042500231,SAS-MIN,2,1,MIN,SAS,MIN @ SAS,TEAM_A_CONTROL,true,DETERMINATE,0.471204,0.225131,true,true,true,true,SAS,false,0.225131,0.471204,-0.24607300000000001,false,false,false
0042500201,DET-CLE,2,1,CLE,DET,CLE @ DET,TEAM_B_CONTROL,true,DETERMINATE,0.315508,0.427807,true,true,true,true,DET,true,0.427807,0.315508,0.11229899999999998,true,true,false
0042500221,OKC-LAL,2,1,LAL,OKC,LAL @ OKC,TEAM_B_CONTROL,true,DETERMINATE,0.237838,0.535135,true,true,true,true,OKC,true,0.535135,0.237838,0.29729700000000003,true,true,false
0042500212,NYK-PHI,2,2,PHI,NYK,PHI @ NYK,TEAM_B_CONTROL,true,DETERMINATE,0.208556,0.406417,true,true,true,true,NYK,true,0.406417,0.208556,0.19786099999999998,true,true,false
0042500232,SAS-MIN,2,2,MIN,SAS,MIN @ SAS,TEAM_B_CONTROL,true,DETERMINATE,0.225131,0.565445,true,true,true,true,SAS,true,0.565445,0.225131,0.340314,true,true,false
0042500202,DET-CLE,2,2,CLE,DET,CLE @ DET,INDETERMINATE,false,INDETERMINATE,0.39548,0.293785,true,true,false,true,DET,,0.293785,0.39548,-0.10169499999999998,false,,false
0042500222,OKC-LAL,2,2,LAL,OKC,LAL @ OKC,TEAM_B_CONTROL,true,DETERMINATE,0.285714,0.634921,true,true,true,true,OKC,true,0.634921,0.285714,0.34920699999999993,true,true,false
0042500213,NYK-PHI,2,3,NYK,PHI,NYK @ PHI,TEAM_A_CONTROL,true,DETERMINATE,0.391304,0.282609,true,true,true,true,NYK,true,0.391304,0.282609,0.10869499999999999,false,true,false
0042500233,SAS-MIN,2,3,SAS,MIN,SAS @ MIN,INDETERMINATE,false,INDETERMINATE,0.415,0.315,true,true,false,true,SAS,,0.415,0.315,0.09999999999999998,false,,false
0042500223,OKC-LAL,2,3,OKC,LAL,OKC @ LAL,TEAM_A_CONTROL,true,DETERMINATE,0.605882,0.088235,true,true,true,true,OKC,true,0.605882,0.088235,0.5176470000000001,false,true,false
0042500214,NYK-PHI,2,4,NYK,PHI,NYK @ PHI,TEAM_A_CONTROL,true,DETERMINATE,0.584337,0.096386,true,false,false,false,NO_CONTROL_CALL,,,,,false,true,false
0042500234,SAS-MIN,2,4,SAS,MIN,SAS @ MIN,INDETERMINATE,false,INDETERMINATE,0.35533,0.375635,true,true,false,true,SAS,,0.35533,0.375635,-0.020305000000000017,false,,false
0042500204,DET-CLE,2,4,DET,CLE,DET @ CLE,INDETERMINATE,false,INDETERMINATE,0.383784,0.427027,true,true,false,true,DET,,0.383784,0.427027,-0.043242999999999976,false,,false
0042500224,OKC-LAL,2,4,OKC,LAL,OKC @ LAL,TEAM_A_CONTROL,true,DETERMINATE,0.59375,0.239583,true,true,true,true,OKC,true,0.59375,0.239583,0.354167,false,true,false
