forecast_id,note_id,canonical_note_url,published_at_utc,nba_game_id,nba_game_url,gamebook_url,scheduled_tipoff_utc,actual_start_utc,tipoff_verification_status,local_only_validation
RF2026-016,c-248969156,https://substack.com/@markbarnekow/note/c-248969156,2026-04-25T14:25:15.681000Z,0042500124,https://www.nba.com/game/nyk-vs-atl-0042500124,https://statsdmz.nba.com/pdfs/20260425/20260425_NYKATL_book.pdf,2026-04-25T22:00:00Z,2026-04-25T22:13:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-017,c-248963694,https://substack.com/@markbarnekow/note/c-248963694,2026-04-25T14:13:25.139000Z,0042500143,https://www.nba.com/game/okc-vs-phx-0042500143,https://statsdmz.nba.com/pdfs/20260425/20260425_OKCPHX_book.pdf,2026-04-25T19:30:00Z,2026-04-25T19:38:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-018,c-249663993,https://substack.com/@markbarnekow/note/c-249663993,2026-04-26T22:53:22.270000Z,0042500114,https://www.nba.com/game/bos-vs-phi-0042500114,https://statsdmz.nba.com/pdfs/20260426/20260426_BOSPHI_book.pdf,2026-04-26T23:00:00Z,2026-04-26T23:07:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-019,c-249458426,https://substack.com/@markbarnekow/note/c-249458426,2026-04-26T15:13:52.466000Z,0042500154,https://www.nba.com/game/sas-vs-por-0042500154,https://statsdmz.nba.com/pdfs/20260426/20260426_SASPOR_book.pdf,2026-04-26T19:30:00Z,2026-04-26T19:50:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-020,c-249685227,https://substack.com/@markbarnekow/note/c-249685227,2026-04-26T23:52:48.042000Z,0042500174,https://www.nba.com/game/lal-vs-hou-0042500174,https://statsdmz.nba.com/pdfs/20260426/20260426_LALHOU_book.pdf,2026-04-27T01:30:00Z,2026-04-27T01:44:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-021,c-250194939,https://substack.com/@markbarnekow/note/c-250194939,2026-04-27T23:12:23.082000Z,0042500104,https://www.nba.com/game/det-vs-orl-0042500104,https://statsdmz.nba.com/pdfs/20260427/20260427_DETORL_book.pdf,2026-04-28T00:00:00Z,2026-04-28T00:08:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-022,c-250229444,https://substack.com/@markbarnekow/note/c-250229444,2026-04-28T00:45:08.299000Z,0042500144,https://www.nba.com/game/okc-vs-phx-0042500144,https://statsdmz.nba.com/pdfs/20260427/20260427_OKCPHX_book.pdf,2026-04-28T01:30:00Z,2026-04-28T01:44:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-023,c-250728526,https://substack.com/@markbarnekow/note/c-250728526,2026-04-28T22:49:45.770000Z,0042500115,https://www.nba.com/game/phi-vs-bos-0042500115,https://statsdmz.nba.com/pdfs/20260428/20260428_PHIBOS_book.pdf,2026-04-28T23:00:00Z,2026-04-28T23:14:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-024,c-250746978,https://substack.com/@markbarnekow/note/c-250746978,2026-04-28T23:37:41.580000Z,0042500125,https://www.nba.com/game/atl-vs-nyk-0042500125,https://statsdmz.nba.com/pdfs/20260428/20260428_ATLNYK_book.pdf,2026-04-29T00:00:00Z,2026-04-29T00:14:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-025,c-250753143,https://substack.com/@markbarnekow/note/c-250753143,2026-04-28T23:54:02.691000Z,0042500155,https://www.nba.com/game/por-vs-sas-0042500155,https://statsdmz.nba.com/pdfs/20260428/20260428_PORSAS_book.pdf,2026-04-29T01:30:00Z,2026-04-29T01:49:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-026,c-251253999,https://substack.com/@markbarnekow/note/c-251253999,2026-04-29T22:05:52.197000Z,0042500105,https://www.nba.com/game/orl-vs-det-0042500105,https://statsdmz.nba.com/pdfs/20260429/20260429_ORLDET_book.pdf,2026-04-29T23:00:00Z,2026-04-29T23:10:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-027,c-251266408,https://substack.com/@markbarnekow/note/c-251266408,2026-04-29T22:34:17.255000Z,0042500175,https://www.nba.com/game/hou-vs-lal-0042500175,https://statsdmz.nba.com/pdfs/20260429/20260429_HOULAL_book.pdf,2026-04-30T02:00:00Z,2026-04-30T02:19:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-028,c-251814143,https://substack.com/@markbarnekow/note/c-251814143,2026-04-30T22:48:33.960000Z,0042500116,https://www.nba.com/game/bos-vs-phi-0042500116,https://statsdmz.nba.com/pdfs/20260430/20260430_BOSPHI_book.pdf,2026-05-01T00:00:00Z,2026-05-01T00:14:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-029,c-251807532,https://substack.com/@markbarnekow/note/c-251807532,2026-04-30T22:31:34.551000Z,0042500126,https://www.nba.com/game/nyk-vs-atl-0042500126,https://statsdmz.nba.com/pdfs/20260430/20260430_NYKATL_book.pdf,2026-04-30T23:00:00Z,2026-04-30T23:13:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-030,c-252320322,https://substack.com/@markbarnekow/note/c-252320322,2026-05-01T22:15:24.475000Z,0042500106,https://www.nba.com/game/det-vs-orl-0042500106,https://statsdmz.nba.com/pdfs/20260501/20260501_DETORL_book.pdf,2026-05-01T23:00:00Z,2026-05-01T23:10:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-031,c-252325571,https://substack.com/@markbarnekow/note/c-252325571,2026-05-01T22:28:31.195000Z,0042500176,https://www.nba.com/game/lal-vs-hou-0042500176,https://statsdmz.nba.com/pdfs/20260501/20260501_LALHOU_book.pdf,2026-05-02T01:30:00Z,2026-05-02T01:49:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-032,c-252800863,https://substack.com/@markbarnekow/note/c-252800863,2026-05-02T22:27:54.830000Z,0042500117,https://www.nba.com/game/phi-vs-bos-0042500117,https://statsdmz.nba.com/pdfs/20260502/20260502_PHIBOS_book.pdf,2026-05-02T23:30:00Z,2026-05-02T23:37:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-033,c-252993763,https://substack.com/@markbarnekow/note/c-252993763,2026-05-03T11:42:40.350000Z,0042500107,https://www.nba.com/game/orl-vs-det-0042500107,https://statsdmz.nba.com/pdfs/20260503/20260503_ORLDET_book.pdf,2026-05-03T19:30:00Z,2026-05-03T19:42:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-034,c-253796252,https://substack.com/@markbarnekow/note/c-253796252,2026-05-04T22:22:24.864000Z,0042500211,https://www.nba.com/game/phi-vs-nyk-0042500211,https://statsdmz.nba.com/pdfs/20260504/20260504_PHINYK_book.pdf,2026-05-05T00:00:00Z,2026-05-05T00:14:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-035,c-253800609,https://substack.com/@markbarnekow/note/c-253800609,2026-05-04T22:32:13.471000Z,0042500231,https://www.nba.com/game/min-vs-sas-0042500231,https://statsdmz.nba.com/pdfs/20260504/20260504_MINSAS_book.pdf,2026-05-05T01:30:00Z,2026-05-05T01:44:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-036,c-254084561,https://substack.com/@markbarnekow/note/c-254084561,2026-05-05T13:59:43.936000Z,0042500201,https://www.nba.com/game/cle-vs-det-0042500201,https://statsdmz.nba.com/pdfs/20260505/20260505_CLEDET_book.pdf,2026-05-05T23:00:00Z,2026-05-05T23:10:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-037,c-254086197,https://substack.com/@markbarnekow/note/c-254086197,2026-05-05T14:02:54.906000Z,0042500221,https://www.nba.com/game/lal-vs-okc-0042500221,https://statsdmz.nba.com/pdfs/20260505/20260505_LALOKC_book.pdf,2026-05-06T00:30:00Z,2026-05-06T00:43:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-038,c-254646873,https://substack.com/@markbarnekow/note/c-254646873,2026-05-06T14:31:32.711000Z,0042500212,https://www.nba.com/game/phi-vs-nyk-0042500212,https://statsdmz.nba.com/pdfs/20260506/20260506_PHINYK_book.pdf,2026-05-06T23:00:00Z,2026-05-06T23:14:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-039,c-254651818,https://substack.com/@markbarnekow/note/c-254651818,2026-05-06T14:40:50.486000Z,0042500232,https://www.nba.com/game/min-vs-sas-0042500232,https://statsdmz.nba.com/pdfs/20260506/20260506_MINSAS_book.pdf,2026-05-07T01:30:00Z,2026-05-07T01:49:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-040,c-255428705,https://substack.com/@markbarnekow/note/c-255428705,2026-05-07T22:32:56.094000Z,0042500202,https://www.nba.com/game/cle-vs-det-0042500202,https://statsdmz.nba.com/pdfs/20260507/20260507_CLEDET_book.pdf,2026-05-07T23:00:00Z,2026-05-07T23:12:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-041,c-255436676,https://substack.com/@markbarnekow/note/c-255436676,2026-05-07T22:53:34.150000Z,0042500222,https://www.nba.com/game/lal-vs-okc-0042500222,https://statsdmz.nba.com/pdfs/20260507/20260507_LALOKC_book.pdf,2026-05-08T01:30:00Z,2026-05-08T01:46:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-042,c-255646983,https://substack.com/@markbarnekow/note/c-255646983,2026-05-08T10:24:54.206000Z,0042500213,https://www.nba.com/game/nyk-vs-phi-0042500213,https://statsdmz.nba.com/pdfs/20260508/20260508_NYKPHI_book.pdf,2026-05-08T23:00:00Z,2026-05-08T23:12:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-043,c-255651118,https://substack.com/@markbarnekow/note/c-255651118,2026-05-08T10:38:40.074000Z,0042500233,https://www.nba.com/game/sas-vs-min-0042500233,https://statsdmz.nba.com/pdfs/20260508/20260508_SASMIN_book.pdf,2026-05-09T01:30:00Z,2026-05-09T01:49:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
