forecast_id,note_id,canonical_note_url,published_at_utc,official_tipoff_utc,lead_time_minutes,actual_start_utc,lead_time_to_actual_start_minutes,prospective_timing_basis,prospective_status_final,nba_game_id,round,series_key,official_game_number,away_team,home_team,predicted_control_team,predicted_outcome_team,analysis_outcome_call_correct,edited_flag,metadata_correction_flag,strict_prospective_sample,strict_sample_exclusion_reason
RF2026-017,c-248963694,https://substack.com/@markbarnekow/note/c-248963694,2026-04-25T14:13:25.139000Z,2026-04-25T19:30:00Z,316.5810166666667,2026-04-25T19:38:00Z,324.5810166666667,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500143,First Round,OKC-PHX,3,OKC,PHX,OKC,OKC,True,False,False,True,
RF2026-018,c-249663993,https://substack.com/@markbarnekow/note/c-249663993,2026-04-26T22:53:22.270000Z,2026-04-26T23:00:00Z,6.628833333333334,2026-04-26T23:07:00Z,13.628833333333334,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500114,First Round,BOS-PHI,4,BOS,PHI,BOS,BOS,True,False,False,True,
RF2026-019,c-249458426,https://substack.com/@markbarnekow/note/c-249458426,2026-04-26T15:13:52.466000Z,2026-04-26T19:30:00Z,256.12556666666666,2026-04-26T19:50:00Z,276.12556666666666,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500154,First Round,SAS-POR,4,SAS,POR,SAS,SAS,True,True,False,True,
RF2026-020,c-249685227,https://substack.com/@markbarnekow/note/c-249685227,2026-04-26T23:52:48.042000Z,2026-04-27T01:30:00Z,97.1993,2026-04-27T01:44:00Z,111.1993,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500174,First Round,LAL-HOU,4,LAL,HOU,LAL,LAL,False,False,False,True,
RF2026-021,c-250194939,https://substack.com/@markbarnekow/note/c-250194939,2026-04-27T23:12:23.082000Z,2026-04-28T00:00:00Z,47.615300000000005,2026-04-28T00:08:00Z,55.615300000000005,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500104,First Round,DET-ORL,4,DET,ORL,DET,DET,False,False,False,True,
RF2026-022,c-250229444,https://substack.com/@markbarnekow/note/c-250229444,2026-04-28T00:45:08.299000Z,2026-04-28T01:30:00Z,44.86168333333333,2026-04-28T01:44:00Z,58.86168333333333,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500144,First Round,OKC-PHX,4,OKC,PHX,OKC,OKC,True,False,False,True,
RF2026-023,c-250728526,https://substack.com/@markbarnekow/note/c-250728526,2026-04-28T22:49:45.770000Z,2026-04-28T23:00:00Z,10.237166666666667,2026-04-28T23:14:00Z,24.237166666666667,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500115,First Round,BOS-PHI,5,PHI,BOS,BOS,BOS,False,False,False,True,
RF2026-024,c-250746978,https://substack.com/@markbarnekow/note/c-250746978,2026-04-28T23:37:41.580000Z,2026-04-29T00:00:00Z,22.307000000000002,2026-04-29T00:14:00Z,36.307,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500125,First Round,NYK-ATL,5,ATL,NYK,NYK,NYK,True,False,False,True,
RF2026-025,c-250753143,https://substack.com/@markbarnekow/note/c-250753143,2026-04-28T23:54:02.691000Z,2026-04-29T01:30:00Z,95.95515,2026-04-29T01:49:00Z,114.95515,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500155,First Round,SAS-POR,5,POR,SAS,SAS,SAS,True,False,False,True,
RF2026-026,c-251253999,https://substack.com/@markbarnekow/note/c-251253999,2026-04-29T22:05:52.197000Z,2026-04-29T23:00:00Z,54.13005,2026-04-29T23:10:00Z,64.13005,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500105,First Round,DET-ORL,5,ORL,DET,DET,DET,True,False,False,True,
