nba_game_id,series_id,round_number,matchup_number,series_game_number,away_team_tricode,home_team_tricode,cap_team_a,cap_team_b,cap_team_a_control_share,cap_team_b_control_share,cap_home_minus_away_share,absolute_cap_share_gap,cap_categorical_controller,cap_controller_location,cap_determinacy_status,away_seed,home_seed,higher_seed_location,forecast_source_id,forecast_control_team_tricode,official_away_score,official_home_score,final_home_minus_away_margin,absolute_final_margin,winner_location,halftime_home_minus_away_margin,absolute_halftime_margin,halftime_leader,home_led_seconds,away_led_seconds,tied_seconds,lead_duration_difference,absolute_lead_duration_difference,team_led_longer,home_largest_lead,away_largest_lead,largest_lead_team,signed_largest_lead_advantage,absolute_largest_lead_advantage,larger_largest_lead,lead_changes,clutch_game,one_possession_game,overtime,number_of_overtimes,permanent_winner_lead_fraction,pbp_validation_status,source_reconciliation_status,missingness_status
0042500117,BOS-PHI,1,2,7,PHI,BOS,PHI,BOS,0.336898,0.379679,0.042781,0.042781,indeterminate,INDETERMINATE,INDETERMINATE,7,2,HOME,RF2026-032,PHI,109,100,-9,9,AWAY,-5,5,AWAY,31.0,2830.0,19.0,-2799.0,2799.0,AWAY,1,18,AWAY,-17,17,18,2,True,False,False,0,0.36770833333333336,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500122,NYK-ATL,1,5,2,ATL,NYK,ATL,NYK,0.308108,0.351351,0.043243,0.043243,indeterminate,INDETERMINATE,INDETERMINATE,6,3,HOME,RF2026-005,NYK,107,106,-1,1,AWAY,7,7,HOME,2625.0,94.5,160.5,2530.5,2530.5,HOME,14,4,HOME,10,10,14,3,True,True,False,0,0.9883680555555555,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500123,NYK-ATL,1,5,3,NYK,ATL,NYK,ATL,0.355,0.345,-0.010000,0.010000,indeterminate,INDETERMINATE,INDETERMINATE,3,6,AWAY,RF2026-011,NYK,108,109,1,1,HOME,8,8,HOME,2448.7,304.3,127.0,2144.4,2144.4,HOME,18,3,HOME,15,15,18,5,True,True,False,0,0.9955902777777779,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500124,NYK-ATL,1,5,4,NYK,ATL,NYK,ATL,0.462766,0.329787,-0.132979,0.132979,NYK,AWAY,DETERMINATE,3,6,AWAY,RF2026-016,NYK,114,98,-16,16,AWAY,-14,14,AWAY,80.0,2719.0,81.0,-2639.0,2639.0,AWAY,1,24,AWAY,-23,23,24,4,False,False,False,0,0.1111111111111111,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500125,NYK-ATL,1,5,5,ATL,NYK,ATL,NYK,0.154321,0.450617,0.296296,0.296296,NYK,HOME,DETERMINATE,6,3,HOME,RF2026-024,NYK,97,126,29,29,HOME,16,16,HOME,2691.0,85.0,104.0,2606.0,2606.0,HOME,32,2,HOME,30,30,32,1,False,False,False,0,0.06909722222222223,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500126,NYK-ATL,1,5,6,NYK,ATL,NYK,ATL,0.691429,0.228571,-0.462858,0.462858,NYK,AWAY,DETERMINATE,3,6,AWAY,RF2026-029,NYK,140,89,-51,51,AWAY,-47,47,AWAY,83.0,2761.0,36.0,-2678.0,2678.0,AWAY,4,61,AWAY,-57,57,61,2,False,False,False,0,0.08680555555555555,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500141,OKC-PHX,1,3,1,PHX,OKC,PHX,OKC,0.154321,0.648148,0.493827,0.493827,OKC,HOME,DETERMINATE,8,1,HOME,RF2026-003,OKC,84,119,35,35,HOME,21,21,HOME,2617.0,179.0,84.0,2438.0,2438.0,HOME,39,5,HOME,34,34,39,1,False,False,False,0,0.09131944444444444,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500142,OKC-PHX,1,3,2,PHX,OKC,PHX,OKC,0.219388,0.443878,0.224490,0.224490,OKC,HOME,DETERMINATE,8,1,HOME,RF2026-010,OKC,107,120,13,13,HOME,8,8,HOME,2643.0,140.0,97.0,2503.0,2503.0,HOME,26,3,HOME,23,23,26,9,False,False,False,0,0.265625,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500143,OKC-PHX,1,3,3,OKC,PHX,OKC,PHX,0.479381,0.386598,-0.092783,0.092783,OKC,AWAY,DETERMINATE,1,8,AWAY,RF2026-017,OKC,121,109,-12,12,AWAY,-9,9,AWAY,318.0,2494.0,68.0,-2176.0,2176.0,AWAY,9,16,AWAY,-7,7,16,6,False,False,False,0,0.4263888888888889,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500144,OKC-PHX,1,3,4,OKC,PHX,OKC,PHX,0.352632,0.368421,0.015789,0.015789,indeterminate,INDETERMINATE,INDETERMINATE,1,8,AWAY,RF2026-022,OKC,131,122,-9,9,AWAY,-8,8,AWAY,607.0,2113.0,160.0,-1506.0,1506.0,AWAY,7,16,AWAY,-9,9,16,9,False,False,False,0,0.45208333333333334,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
