nba_game_id,series,round,series_game_number,away_team,home_team,away_seed,home_seed,rfactor_forecast_team,official_winner,away_score,home_score,final_margin,cap_team_a,cap_team_b,cap_team_a_control_share,cap_team_b_control_share,signed_control_share_difference_team_a_minus_team_b,absolute_control_share_difference,cap_categorical_controller,cap_determinacy_status,cap_controller_matched_winner,rfactor_matched_cap,rfactor_matched_eventual_winner,home_team_won,higher_seed_team,higher_seed_won,overtime,number_of_overtimes,halftime_margin,lead_changes,largest_lead,home_led_seconds,away_led_seconds,tied_seconds,clutch_game,permanent_winner_lead_fraction,one_possession_game,winner_led_fraction,loser_led_fraction
0042500176,LAL-HOU,1,6,LAL,HOU,4,5,HOU,LAL,98,78,20,LAL,HOU,0.428571,0.086957,0.341614,0.341614,LAL,DETERMINATE,True,False,False,False,LAL,True,False,0,18,5,29,402.0,2461.0,17.0,False,0.15868055555555555,False,0.8545138888888889,0.13958333333333334
0042500122,NYK-ATL,1,2,ATL,NYK,6,3,NYK,ATL,107,106,1,ATL,NYK,0.308108,0.351351,-0.04324300000000003,0.04324300000000003,INDETERMINATE,INDETERMINATE,NA,NA,False,False,NYK,False,False,0,7,3,14,2625.0,94.5,160.5,True,0.9883680555555555,True,0.0328125,0.9114583333333334
0042500123,NYK-ATL,1,3,NYK,ATL,3,6,NYK,ATL,108,109,1,NYK,ATL,0.355,0.345,0.010000000000000009,0.010000000000000009,INDETERMINATE,INDETERMINATE,NA,NA,False,True,NYK,False,False,0,8,5,18,2448.7,304.3,127.0,True,0.9955902777777779,True,0.8502430555555555,0.10565972222222222
0042500124,NYK-ATL,1,4,NYK,ATL,3,6,NYK,NYK,114,98,16,NYK,ATL,0.462766,0.329787,0.132979,0.132979,NYK,DETERMINATE,True,True,True,False,NYK,True,False,0,14,4,24,80.0,2719.0,81.0,False,0.1111111111111111,False,0.9440972222222223,0.027777777777777776
0042500125,NYK-ATL,1,5,ATL,NYK,6,3,NYK,NYK,97,126,29,ATL,NYK,0.154321,0.450617,-0.296296,0.296296,NYK,DETERMINATE,True,True,True,True,NYK,True,False,0,16,1,32,2691.0,85.0,104.0,False,0.06909722222222223,False,0.934375,0.029513888888888888
0042500126,NYK-ATL,1,6,NYK,ATL,3,6,NYK,NYK,140,89,51,NYK,ATL,0.691429,0.228571,0.462858,0.462858,NYK,DETERMINATE,True,True,True,False,NYK,True,False,0,47,2,61,83.0,2761.0,36.0,False,0.08680555555555555,False,0.9586805555555555,0.028819444444444446
0042500141,OKC-PHX,1,1,PHX,OKC,8,1,OKC,OKC,84,119,35,PHX,OKC,0.154321,0.648148,-0.4938269999999999,0.4938269999999999,OKC,DETERMINATE,True,True,True,True,OKC,True,False,0,21,1,39,2617.0,179.0,84.0,False,0.09131944444444444,False,0.9086805555555556,0.06215277777777778
0042500142,OKC-PHX,1,2,PHX,OKC,8,1,OKC,OKC,107,120,13,PHX,OKC,0.219388,0.443878,-0.22449,0.22449,OKC,DETERMINATE,True,True,True,True,OKC,True,False,0,8,9,26,2643.0,140.0,97.0,False,0.265625,False,0.9177083333333333,0.04861111111111111
0042500143,OKC-PHX,1,3,OKC,PHX,1,8,OKC,OKC,121,109,12,OKC,PHX,0.479381,0.386598,0.092783,0.092783,OKC,DETERMINATE,True,True,True,False,OKC,True,False,0,9,6,16,318.0,2494.0,68.0,False,0.4263888888888889,False,0.8659722222222223,0.11041666666666666
0042500144,OKC-PHX,1,4,OKC,PHX,1,8,OKC,OKC,131,122,9,OKC,PHX,0.352632,0.368421,-0.015788999999999997,0.015788999999999997,INDETERMINATE,INDETERMINATE,NA,NA,True,False,OKC,True,False,0,8,9,16,607.0,2113.0,160.0,False,0.45208333333333334,False,0.7336805555555556,0.2107638888888889
0042500151,SAS-POR,1,1,POR,SAS,7,2,SAS,SAS,98,111,13,POR,SAS,0.449735,0.391534,0.058201,0.058201,INDETERMINATE,INDETERMINATE,NA,NA,True,True,SAS,True,False,0,10,6,21,2685.0,100.0,95.0,False,0.10451388888888889,False,0.9322916666666666,0.034722222222222224
0042500152,SAS-POR,1,2,POR,SAS,7,2,SAS,POR,106,103,3,POR,SAS,0.471503,0.300518,0.170985,0.170985,POR,DETERMINATE,True,False,False,False,SAS,False,False,0,0,9,14,1507.9,1092.7,279.4,True,0.9576388888888889,True,0.37940972222222225,0.5235763888888889
0042500153,SAS-POR,1,3,SAS,POR,2,7,SAS,SAS,120,108,12,SAS,POR,0.381443,0.386598,-0.005155000000000021,0.005155000000000021,INDETERMINATE,INDETERMINATE,NA,NA,True,False,SAS,True,False,0,6,9,15,1753.0,852.9,274.1,False,0.8145833333333333,False,0.29614583333333333,0.6086805555555556
0042500154,SAS-POR,1,4,SAS,POR,2,7,SAS,SAS,114,93,21,SAS,POR,0.430769,0.287179,0.14359,0.14359,SAS,DETERMINATE,True,True,True,False,SAS,True,False,0,17,9,21,1687.6,1067.7,124.7,False,0.76875,False,0.37072916666666667,0.5859722222222222
0042500155,SAS-POR,1,5,POR,SAS,7,2,SAS,SAS,95,114,19,POR,SAS,0.383784,0.416216,-0.03243199999999996,0.03243199999999996,INDETERMINATE,INDETERMINATE,NA,NA,True,True,SAS,True,False,0,20,0,28,2847.0,0.0,33.0,False,0.028125,False,0.9885416666666667,0.0
0042500201,DET-CLE,2,1,CLE,DET,4,1,DET,DET,101,111,10,CLE,DET,0.315508,0.427807,-0.11229899999999998,0.11229899999999998,DET,DETERMINATE,True,True,True,True,DET,True,False,0,13,1,18,2625.0,173.0,82.0,True,0.8993055555555556,False,0.9114583333333334,0.060069444444444446
0042500202,DET-CLE,2,2,CLE,DET,4,1,DET,DET,97,107,10,CLE,DET,0.39548,0.293785,0.10169499999999998,0.10169499999999998,INDETERMINATE,INDETERMINATE,NA,NA,True,True,DET,True,False,0,11,3,14,2721.0,43.0,116.0,True,0.7986111111111112,False,0.9447916666666667,0.014930555555555556
0042500204,DET-CLE,2,4,DET,CLE,1,4,DET,CLE,103,112,9,DET,CLE,0.383784,0.427027,-0.043242999999999976,0.043242999999999976,INDETERMINATE,INDETERMINATE,NA,NA,False,True,DET,False,False,0,4,10,21,1795.0,907.0,178.0,False,0.5236111111111111,False,0.6232638888888888,0.31493055555555555
0042500205,DET-CLE,2,5,CLE,DET,4,1,DET,CLE,117,113,4,CLE,DET,0.309942,0.444444,-0.134502,0.134502,DET,DETERMINATE,False,True,False,False,DET,False,True,1,8,11,15,2183.8,753.0,243.2,True,0.9141509433962264,False,0.23679245283018868,0.6867295597484278
0042500206,DET-CLE,2,6,DET,CLE,1,4,CLE,DET,115,94,21,DET,CLE,0.432432,0.367568,0.06486399999999998,0.06486399999999998,DET,DETERMINATE,True,False,False,False,DET,True,False,0,3,5,22,449.3,2292.1,138.6,False,0.24996527777777777,False,0.7958680555555555,0.15600694444444446
