endpoint_id,family,tier,x_variable,y_variable,universe,eligible_n,missing_or_excluded_n,expected_direction,spearman_rho,bca_95_ci_lower,bca_95_ci_upper,bca_interval_status,percentile_95_ci_lower,percentile_95_ci_upper,percentile_interval_status,permutation_p_raw,permutation_p_holm,permutation_exceedance_count,bootstrap_replicates_planned,bootstrap_replicates_valid,permutation_replicates
S1_1,S1,SECONDARY,cap_home_minus_away_share,final_home_minus_away_margin,All validated paired-complete games,68,0,positive,0.71637378828153009,0.56357908016961478,0.82256586968970347,PASS,0.56489973941176186,0.82313167772452644,PASS,9.9990000999900015e-05,0.00039996000399960006,0,10000,10000,10000
S1_2,S1,SECONDARY,cap_home_minus_away_share,halftime_home_minus_away_margin,All validated paired-complete games,68,0,positive,0.47556523999287714,0.24801449063253295,0.66431382496981428,PASS,0.24940885139211871,0.66505685777530354,PASS,0.00019998000199980003,0.00039996000399960006,1,10000,10000,10000
S1_3,S1,PRIMARY_CONTINUOUS_COMPANION,cap_home_minus_away_share,lead_duration_difference,All validated paired-complete games,68,0,positive,0.53665566010726629,0.3299381589481552,0.685125228916311,PASS,0.33961799844476204,0.69019846429827747,PASS,9.9990000999900015e-05,0.00039996000399960006,0,10000,10000,10000
S1_4,S1,SECONDARY,cap_home_minus_away_share,signed_largest_lead_advantage,All validated paired-complete games,68,0,positive,0.63645480299593638,0.43917618023462424,0.77155995457581217,PASS,0.44332082698978054,0.77335818637611897,PASS,9.9990000999900015e-05,0.00039996000399960006,0,10000,10000,10000
