endpoint_id,family,endpoint,group_variable,named_first_group,comparison_group,eligible_n_total,missing_or_excluded_n,group1_n,group2_n,group1_q1,group1_median,group1_q3,group2_q1,group2_median,group2_q3,hodges_lehmann_shift_group1_minus_group2,mann_whitney_u_named_first_group,rank_biserial_group1_orientation,raw_p_value,holm_adjusted_p_value,p_value_method,total_label_enumerations_or_replicates
B1_1,B1,absolute_cap_share_gap: clutch vs non-clutch,clutch_game,clutch,non-clutch,68,0,27,41,0.043011999999999995,0.14130400000000001,0.22150399999999998,0.064864000000000005,0.14359,0.3125,-0.044559000000000001,436,-0.21228545618789518,0.14108589141085892,0.28217178282171784,monte_carlo_binary_label_permutation_plus_one,10000
B1_2,B1,absolute_cap_share_gap: one-possession vs other,one_possession_game,one-possession,other,68,0,6,62,0.022408749999999998,0.107114,0.2025825,0.065314750000000005,0.14244699999999999,0.27004550000000005,-0.053825499999999998,131.5,-0.293010752688172,0.2466859121270886,0.28217178282171784,exact_label_permutation_dynamic_programming_with_average_ranks,109453344
