model_id,analysis_role,outcome_id,sample_definition,eligible_rows,game_count,series_count,formula_id,contrast_id,estimate,standard_error,ci_lower,ci_upper,p_two_sided,inference_method,cluster_unit,degrees_of_freedom,B,seed,grid_min,grid_max,grid_step,weighting_rule,status,omission_reason
H1_PRIMARY_Y5_WCR_WEBB,PRIMARY,Y5,PRIMARY_CAP_ELIGIBLE_LOOKAHEAD_FREE_Y5,7092,68,13,H1_PRIMARY_FORMULA,HOME_CONTROL_MINUS_AWAY_CONTROL,-0.6243873216748361,0.128162597335867,-0.92,-0.365,0.0003,WCR_WEBB,series_id,,9999,2026082401,-5.0,5.0,0.005,1.0,ESTIMABLE,
H1_SECONDARY_Y10_WCR_WEBB,SECONDARY,Y10,PRIMARY_CAP_ELIGIBLE_LOOKAHEAD_FREE_Y10,6082,68,13,H1_PRIMARY_FORMULA,HOME_CONTROL_MINUS_AWAY_CONTROL,-0.060437317665218204,0.18203597086330922,-0.465,0.305,0.749,WCR_WEBB,series_id,,9999,2026082402,-5.0,5.0,0.005,1.0,ESTIMABLE,
H1_SECONDARY_STRUCTURAL_FAILURE_Y5_WCR_WEBB,SECONDARY,STRUCTURAL_FAILURE_Y5,PRIMARY_CAP_ELIGIBLE_LOOKAHEAD_FREE_STRUCTURAL_FAILURE_Y5,7092,68,13,H1_PRIMARY_FORMULA,HOME_CONTROL_MINUS_AWAY_CONTROL,0.15846113676388934,0.051153392263481055,0.055,0.27,0.0044,WCR_WEBB,series_id,,9999,2026082403,-5.0,5.0,0.005,1.0,ESTIMABLE,
