endpoint_id,family,tier,endpoint,universe,eligible_n,cap_indeterminate_excluded_n,comparator_tie_excluded_n,agreement_count,disagreement_count,agreement_proportion,agreement_percent,wilson_95_ci_lower,wilson_95_ci_upper,fisher_exact_two_sided_p_raw,fisher_exact_interpretation,fisher_exact_two_sided_p_holm,gwet_ac1,cohen_kappa_appendix_only,cohen_kappa_bca_95_ci_lower,cohen_kappa_bca_95_ci_upper,cohen_kappa_ci_status,kappa_p_value_status,kappa_multiplicity_status,main_findings_promotion
C1_A,C1,PRIMARY_CATEGORICAL,CAP controller vs team leading longer in regulation,CAP-determinate games with non-tied comparator,47,21,0,36,11,0.76595744680851063,76.59574468085107,0.62775742449844407,0.86396725413772812,0.00040019693174173223,conditional association preserving margins; not a direct test of agreement magnitude,0.00080039386348346446,0.53276095797559864,0.53127833182230277,0.26280872749882345,0.74456521739130443,PASS,FORBIDDEN,NONE,FORBIDDEN
C1_B,C1,SECONDARY,CAP controller vs halftime leader,CAP-determinate games with non-tied comparator,45,21,2,33,12,0.73333333333333328,73.333333333333329,0.58961162246865051,0.8403509647893348,0.0026514040528477704,conditional association preserving margins; not a direct test of agreement magnitude,0.0026514040528477704,0.46902654867256627,0.46534653465346526,0.18181818181818185,0.69026548672566368,PASS,FORBIDDEN,NONE,FORBIDDEN
C1_C,C1,SECONDARY,CAP controller vs largest-lead team,CAP-determinate games with non-tied comparator,46,21,1,39,7,0.84782608695652173,84.782608695652172,0.71775860447938999,0.9242771777219454,1.5100145263047636e-06,conditional association preserving margins; not a direct test of agreement magnitude,4.5300435789142909e-06,0.6957959376476146,0.69679849340866284,0.46923076923076912,0.86956521739130443,PASS,FORBIDDEN,NONE,FORBIDDEN
