endpoint_id,family,tier,x_variable,y_variable,universe,eligible_n,missing_or_excluded_n,expected_direction,spearman_rho,bca_95_ci_lower,bca_95_ci_upper,bca_interval_status,percentile_95_ci_lower,percentile_95_ci_upper,percentile_interval_status,permutation_p_raw,permutation_p_holm,permutation_exceedance_count,bootstrap_replicates_planned,bootstrap_replicates_valid,permutation_replicates
A1_1,A1,SECONDARY,absolute_cap_share_gap,absolute_final_margin,All validated paired-complete games,68,0,positive,0.36547475631925891,0.10090395382839419,0.57080598055981357,PASS,0.10720232974044845,0.57582583766472206,PASS,0.0014998500149985001,0.0059994000599940004,14,10000,10000,10000
A1_3,A1,PRIMARY_ABSOLUTE_COMPANION,absolute_cap_share_gap,absolute_lead_duration_difference,All validated paired-complete games,68,0,positive,0.13324553366926245,-0.11599629369041467,0.36356348390002352,PASS,-0.11222001230827584,0.36700461257331746,PASS,0.27667233276672332,0.55334466553344663,2766,10000,10000,10000
A1_4,A1,SECONDARY,absolute_cap_share_gap,absolute_largest_lead_advantage,All validated paired-complete games,68,0,positive,0.34166477419952518,0.09307901075342101,0.5521993878627145,PASS,0.085975798965369554,0.54761434696113187,PASS,0.0045995400459954002,0.0137986201379862,45,10000,10000,10000
A1_5,A1,SECONDARY,absolute_cap_share_gap,lead_changes,All validated paired-complete games,68,0,negative,-0.023682208420359216,-0.26805110462129877,0.22623764147441591,PASS,-0.26906619656191633,0.22377349763788526,PASS,0.845015498450155,0.845015498450155,8450,10000,10000,10000
